????:????                                                                                                                                                        ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
????? Spicy fish seasoning,40pcs/ctn,9.5/pcs,,BEAN DRUM ??,pkt,4.5/pcs,,,,
OLD CHILLI SAURCE ???,24p/ctn,8.5/pcs,,Special thick chisauce ????,6p/ctn,85/ctn,,,,
GRASS FRUIT ??,KG,45/KG,,Porphyra ??,pkt,35/pkt,,,,
ANGELICA DAHURICA ??,KG,55/KG,,?????? Korean chili powder,1kg/pkt,18.5/pcs,,,,
Dried shredded kelp???,ctn,85/ CTN,,Broad Bean Paste ???,6p/ctn,85/ctn,,,,
??????  500G/PKT,pkt,18.5/PKT,,light soy sauce ????(??),6p/ctn,75/CTN,,,,
WANG ZHONG WANG ??????,pkt,18.5/PKT,,9°RICE VINEGER 9°??,P,6.5/PCS,,,,
Millet ??,kg,12.5/kg,,oil consumption hai tian ????,CTN,85/ctn,,,,
CORN CRUSH ???,kg,12.5/kg,,??? Rice wine lees,PCS,12/PCS,,,,
????China Dried chili peppers,2.5kg/pkt,35/kg,,,,,,,,
???  White pepper powder,PKT,18.5/PKT,,,,,,,,
??? Dried toufu piece,KG,45/KG,,,,,,,,
GRILLED SAUSAGES ?????,20PCS/CTN,18.5/PKT,,,,,,,,
Hot pickled mustard tuber ????,12pcs/ctn,8.5/pcs,,,,,,,,
Sugar ??,KG,3.5/KG,,,,,,,,
??????,40pcs/ctn,8.5/pcs,,,,,,,,
???? Paper Windmill cornstarch ,25kg/pkt,195/CTN,,,,,,,,
DRY YELLOW BEANS ??,KG,8.5/KG,,,,,,,,
???  peanuts,KG,13.5/KG,,,,,,,,
???   warter long beans,10PCS/CTN,13.5/pcs,,,,,,,,
